phase,epoch,train_loss,val_acc,val_f1
head,1,2.299313631021615,0.40874524714828897,0.3897185596008275
head,2,2.05019505908995,0.4686311787072243,0.44137650836844056
head,3,1.94572740612608,0.49619771863117873,0.4692024720815668
head,4,1.96766340100404,0.5,0.4679606468337886
head,5,1.9520504944252246,0.4790874524714829,0.4632005751930937
head,6,1.9669569568200544,0.5503802281368821,0.5142553668753417
head,7,1.897815131779873,0.49334600760456276,0.4569403460396004
head,8,2.015236440933112,0.5579847908745247,0.5120181769340776
ft,1,1.6107909399451632,0.7110266159695817,0.6659383447234828
ft,2,1.2778183429530172,0.8079847908745247,0.7822548990059979
ft,3,1.1520363451405005,0.8517110266159695,0.8334014925800334
ft,4,0.9622071893377737,0.9020912547528517,0.888486189120649
ft,5,0.9840077744288878,0.9049429657794676,0.8956788954465733
ft,6,0.9261382418599996,0.9372623574144486,0.923076537570594
ft,7,0.8923110442631172,0.9306083650190115,0.9154529521610493
ft,8,0.8676736937327818,0.9372623574144486,0.9245867160187518
ft,9,0.8243688128211282,0.9458174904942965,0.9350632374381891
ft,10,0.8769647576140635,0.9515209125475285,0.9439157232090345
ft,11,0.8276858472011306,0.9534220532319392,0.9427600688125582
ft,12,0.8734264721473058,0.9534220532319392,0.9384062997789318
ft,13,0.7264007885347713,0.9581749049429658,0.948330262139563
ft,14,0.8115241331132975,0.9619771863117871,0.9519945669194647
ft,15,0.7695478304769053,0.9572243346007605,0.9495944657080765
ft,16,0.8633585967349283,0.9543726235741445,0.9423769223075299
ft,17,0.7892783602530306,0.9638783269961977,0.9577272567515821
ft,18,0.7503513752511053,0.9638783269961977,0.9579900422631746
ft,19,0.6805312863805077,0.9610266159695817,0.9530276397042443
ft,20,0.7935474029544628,0.9638783269961977,0.9519151096729425
ft,21,0.7917791842059656,0.9667300380228137,0.9585768438072891
ft,22,0.6855589898698258,0.9743346007604563,0.9658530492863739
ft,23,0.7319777729836378,0.9686311787072244,0.971454997033015
ft,24,0.6842686983220505,0.9629277566539924,0.956471905432282
ft,25,0.6892967793074521,0.9629277566539924,0.9544521658717694
