phase,epoch,train_loss,val_acc,val_f1
head,1,2.6132829277603715,0.2747148288973384,0.22992521299435711
head,2,2.2750479645199246,0.33840304182509506,0.305882599842992
head,3,2.195031589931912,0.41159695817490494,0.36893983195137825
head,4,2.1053408163565175,0.39638783269961975,0.3560484397910708
head,5,2.009787263693633,0.41730038022813687,0.3954019983425496
head,6,1.9316558087313618,0.4629277566539924,0.4319356160059889
head,7,2.071675009197659,0.4505703422053232,0.4256858152083194
head,8,1.9576224618487887,0.46577946768060835,0.4405104519939095
ft,1,1.8511471130229809,0.5123574144486692,0.5000501263701619
ft,2,1.4809201381824635,0.6169201520912547,0.5858073512186298
ft,3,1.3386770288149517,0.6682509505703422,0.6238132553687561
ft,4,1.3990117951675698,0.6863117870722434,0.652016457187399
ft,5,1.2667438895614058,0.685361216730038,0.6453504460162663
ft,6,1.1596504780981276,0.723384030418251,0.6956716750720802
ft,7,1.082459584430412,0.7423954372623575,0.7042363664186945
ft,8,1.055360875747822,0.75,0.7281494202966403
ft,9,0.9192909234099917,0.7557034220532319,0.7268681534516047
ft,10,1.1363390639976219,0.7614068441064639,0.7325766124455771
ft,11,1.117920411957635,0.7585551330798479,0.7233850174258384
ft,12,0.8287342301121464,0.7576045627376425,0.7293516086780039
ft,13,0.9536414124347545,0.7671102661596958,0.7418081723333999
ft,14,1.1001080484301955,0.7756653992395437,0.7539470406059436
ft,15,1.0377308339984328,0.7452471482889734,0.7257514747402455
ft,16,0.9942574158862785,0.7623574144486692,0.754177203862437
ft,17,0.829615048788212,0.7842205323193916,0.7741938637607113
ft,18,1.0419764110335596,0.7918250950570342,0.7637375170717634
ft,19,0.8475534132233372,0.7785171102661597,0.7577453774718633
ft,20,0.8378083716939997,0.785171102661597,0.7627817175929451
ft,21,0.8906411208488323,0.776615969581749,0.7730791190141965
ft,22,0.8831440309683481,0.7785171102661597,0.7675801123353939
ft,23,0.8859385318226285,0.8041825095057035,0.7841575816062939
ft,24,0.6975903853222176,0.7880228136882129,0.7664271353942809
ft,25,0.8165089510105275,0.7880228136882129,0.7733192394808271
